city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,road_length_km,year,co2,lat,lon
jammu,1006416,JAMMU AND KASHMIR,18119323,3.736332288,145.10080793637087,2562.057450340112,2023,84689.31850193263,32.7266,74.857
jamshedpur,1617730,JHARKHAND,39247441,4.647351296,140.66959873262894,2051.0368764177056,2023,122186.8383835372,22.8046,86.2029
jhansi,736260,UTTAR PRADESH,232192037,1.92704896,168.5923384775752,1570.0882975126665,2023,54085.77764171442,25.4484,78.5685
jodhpur,1105474,RAJASTHAN,80579763,4.987193344,233.9218183806187,3028.079430445656,2023,113181.56554769562,26.2389,73.0243
kanpur,3463756,UTTAR PRADESH,232192037,18.485172224,239.26402649395047,4705.227830865486,2023,245754.33933363468,26.4499,80.3319
kochi,897318,KERALA,42361297,7.29564928,75.74388605757775,1347.9593771505174,2023,127557.12007283646,9.9312,76.2673
kohima,112729,NAGALAND,2079321,0.09769848,11.015008045742318,183.74831954041605,2023,12596.58470881099,25.6747,94.11
kolhapur,614060,MAHARASHTRA,126536129,3.962580736,70.55239107951856,1032.3779891689785,2023,80035.56894859207,16.705,74.2433
kolkata,6560623,WEST BENGAL,100644486,54.483714048,186.60196533263007,4687.112045649499,2023,319562.88889044966,22.5726,88.3639
korba,492230,CHHATTISGARH,29680526,1.864763648,328.6478804250152,1720.6767545681662,2023,54118.08835616587,22.3475,82.6966
kota,1283752,RAJASTHAN,80579763,5.714211328,564.5154734663953,3463.2540023358856,2023,124371.60291202267,25.2138,75.8648
kurnool,440969,ANDHRA PRADESH,53387780,2.62636288,64.2530473982568,1031.0870694540502,2023,46899.19052484757,15.8222,78.035
lucknow,3728327,UTTAR PRADESH,232192037,20.306829312,283.4487310664704,7002.966953187935,2023,260376.3158120024,26.8467,80.9462
ludhiana,1871171,PUNJAB,31255959,17.171316736,140.063490901761,3648.785322047416,2023,316704.0010193757,30.9005,75.8573
madurai,1851760,TAMIL NADU,81532082,23.855816704,150.6978840232562,2548.5679819579623,2023,266788.0631904224,9.9252,78.1198
mangaluru,736688,KARNATAKA,70511891,6.147726848,135.01855274371997,1647.0238060491615,2023,129215.43000641256,12.9141,74.856
meerut,1733161,UTTAR PRADESH,232192037,6.931791872,145.53426144952715,2886.7696173691133,2023,117714.30579546528,28.9845,77.7064
moradabad,1430782,UTTAR PRADESH,232192037,3.85441664,143.78822204407683,1726.156345593421,2023,101565.78116550784,28.8386,78.7733
mumbai,14293546,MAHARASHTRA,126536129,235.313496064,459.27548781195,6444.794753686682,2023,1921922.593683972,19.076,72.8777
muzaffarpur,563018,BIHAR,125238091,1.265745536,27.27132242365622,536.2582024918161,2023,17873.300394179678,26.122,85.3906
mysuru,1001421,KARNATAKA,70511891,10.574650368,86.31912707031779,2229.127192370185,2023,168176.81083033376,12.2958,76.6394
nagpur,2649651,MAHARASHTRA,126536129,23.15874304,221.0239866890283,5212.652900024288,2023,351394.44127873715,21.1458,79.0882
nalgonda,203225,TELANGANA,38968605,1.129096064,106.53708500056744,1036.0902048336409,2023,35019.69779155555,17.0575,79.2671
nashik,1867656,MAHARASHTRA,126536129,11.165231104,264.4978214440781,3416.9063674874587,2023,240805.46992987415,19.9975,73.7898
nellore,690486,ANDHRA PRADESH,53387780,3.984125184,156.6903760744114,1937.267036933881,2023,74954.6480679687,14.4426,79.9865
noida,1321650,UTTAR PRADESH,232192037,9.956035584,150.65979718608077,3585.26542546999,2023,99266.42911613797,28.5355,77.391
panaji,120143,GOA,1551926,1.050416576,8.183369378519682,161.45107541533957,2023,60540.05163279649,15.4909,73.8278
patiala,764662,PUNJAB,31255959,6.702062592,239.8533876288217,2553.882191346198,2023,127751.75809972498,30.3398,76.3869
patna,2456695,BIHAR,125238091,5.831462912,98.61575847856882,2219.040031035522,2023,69480.53813122549,25.5941,85.1376
pune,4685469,MAHARASHTRA,126536129,62.11004416,263.1900522245908,5489.027828606264,2023,633011.1307056756,18.5204,73.8567
raipur,1246543,CHHATTISGARH,29680526,5.563660288,174.63999510459902,2674.068853925977,2023,135508.74418734945,21.2514,81.6296
rajkot,1327869,GUJARAT,70846459,13.448361984,105.80428792472648,2382.6143179748583,2023,211977.0547528864,22.3039,70.8022
ranchi,1578790,JHARKHAND,39247441,4.840635392,174.8893819535583,2558.554806370256,2023,115994.79513665383,23.3441,85.3096
rourkela,300430,ODISHA,46690946,0.804645248,54.67288078249757,730.0282434131552,2023,28001.943891497445,22.2604,84.8536
sagar,388591,MADHYA PRADESH,84567635,1.415586304,34.44731732996157,388.6705920708636,2023,32410.44409846356,23.8388,78.7378
sangli-miraj-kupwad,661229,MAHARASHTRA,126536129,4.947664896,106.17681972314902,1405.3046660855805,2023,79253.68207711811,16.8524,74.5815
shilong,191737,MEGHALAYA,3646684,0.727427328,10.192827656050031,157.7458923131745,2023,31845.16143052773,25.5788,91.8933
shimla,208290,HIMACHAL PRADESH,7582996,2.04159424,28.03019771253646,260.6824719129987,2023,37377.57719246847,31.1048,77.1734
shivamogga,419256,KARNATAKA,70511891,3.52292352,76.92870040772432,1310.6927308565196,2023,67861.1885968356,13.9299,75.5681
silchar,513169,ASSAM,35170839,2.07866624,70.99979137721886,628.0984501568947,2023,31789.64024847157,24.8273,92.7979
siliguri,320439,WEST BENGAL,100644486,1.245393664,37.35078532235109,838.1925054801584,2023,17183.0591325699,26.7271,88.3953
solapur,1120562,MAHARASHTRA,126536129,6.016082944,180.4589421264897,1854.3969737382247,2023,138013.40368366527,17.6599,75.9064
srinagar,1351715,JAMMU AND KASHMIR,18119323,13.150550016,229.1377718373979,2884.353395095473,2023,110034.4223983654,34.0837,74.7973
surat,4946274,GUJARAT,70846459,104.089288704,318.80616272950004,5306.5777494713,2023,752237.0801085135,21.1702,72.8311
thiruvananthapuram,2178452,KERALA,42361297,19.028475904,213.26400876746564,2843.869691774792,2023,321356.98921275313,8.5241,76.9366
thoothukkudi,408570,TAMIL NADU,81532082,2.654692608,131.4298147359914,1538.3469863108362,2023,57946.58792973101,8.7642,78.1348
tiruchirappalli,1153287,TAMIL NADU,81532082,10.610655232,152.7444595144239,1901.6410097694911,2023,164716.4145673422,10.7905,78.7047
tiruppur,835750,TAMIL NADU,81532082,6.694953472,119.51331140285052,1712.0753205031167,2023,127783.00906761948,11.1085,77.3411
udaipur,526889,RAJASTHAN,80579763,2.018247936,61.38054553947258,1066.4552320194853,2023,55194.76439936197,24.5854,73.7125
ujjain,606282,MADHYA PRADESH,84567635,1.571333376,152.1873945443984,1434.4237275533596,2023,51880.34664451343,23.1793,75.7849
vadodara,1963378,GUJARAT,70846459,20.715317248,160.3647462719114,3585.739279103222,2023,287128.38862551504,22.3072,73.1812
varanashi,1971210,UTTAR PRADESH,232192037,8.79833088,69.34144977741374,1499.1292354212997,2023,135493.64506254322,25.3176,82.9739
vijaywada,1065140,ANDHRA PRADESH,53387780,7.8171392,61.50196729758537,1106.9561259220884,2023,127801.6903507581,16.5062,80.648
vishakhapatnam,2188703,ANDHRA PRADESH,53387780,23.921035264,629.3119640349062,5965.77887065241,2023,255055.80304624187,17.6868,83.2185
warangal,926825,TELANGANA,38968605,6.49259776,406.92741049144274,3432.2262253088,2023,142525.19007893276,17.9784,79.5941
